flight_id,airline,source,destination,departure_time,arrival_time,duration,duration_hours,route,flight_date
SJ010,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,0 days 02:54:00,2.9,CCU → MAA,2026-04-20
AI155,Air India,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,0 days 01:48:00,1.8,BOM → CCU,2026-04-20
UK094,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,0 days 01:45:00,1.75,BOM → CCU,2026-04-20
AI245,Air India,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,0 days 02:36:00,2.6,BOM → CCU,2026-04-20
AI192,Air India,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,0 days 04:59:00,4.983333333333333,MAA → BOM,2026-04-20
SJ158,SpiceJet,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,0 days 02:19:00,2.316666666666667,DEL → HYD,2026-04-20
6F196,IndiGo,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,0 days 01:43:00,1.7166666666666666,CCU → MAA,2026-04-20
AI080,Air India,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,0 days 01:32:00,1.5333333333333334,BOM → HYD,2026-04-20
6F025,IndiGo,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,0 days 00:55:00,0.9166666666666666,BLR → BOM,2026-04-20
6F251,IndiGo,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,0 days 00:41:00,0.6833333333333333,DEL → BLR,2026-04-20
AI137,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,0 days 02:28:00,2.466666666666667,BOM → DEL,2026-04-20
6F026,IndiGo,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,0 days 04:27:00,4.45,BOM → CCU,2026-04-20
UK167,Vistara,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,0 days 03:01:00,3.0166666666666666,DEL → MAA,2026-04-20
UK027,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,0 days 02:21:00,2.35,BOM → CCU,2026-04-20
AI069,Air India,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,0 days 03:46:00,3.7666666666666666,DEL → BOM,2026-04-20
AI058,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,0 days 01:38:00,1.6333333333333333,BOM → CCU,2026-04-20
AI140,Air India,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,0 days 03:43:00,3.716666666666667,BOM → DEL,2026-04-20
SJ239,SpiceJet,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,0 days 01:46:00,1.7666666666666666,BOM → CCU,2026-04-20
6F099,IndiGo,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,0 days 00:35:00,0.5833333333333334,MAA → DEL,2026-04-20
AI048,Air India,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,0 days 03:52:00,3.8666666666666667,CCU → DEL,2026-04-20
SJ112,SpiceJet,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,0 days 02:20:00,2.3333333333333335,HYD → DEL,2026-04-20
6F164,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,0 days 02:27:00,2.45,BLR → BOM,2026-04-20
UK021,Vistara,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,0 days 01:50:00,1.8333333333333333,HYD → MAA,2026-04-20
SJ172,SpiceJet,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,0 days 03:16:00,3.2666666666666666,CCU → DEL,2026-04-20
AI060,Air India,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,0 days 01:53:00,1.8833333333333333,DEL → HYD,2026-04-20
SJ205,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,0 days 01:04:00,1.0666666666666667,HYD → CCU,2026-04-20
SJ093,SpiceJet,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,0 days 01:06:00,1.1,BLR → BOM,2026-04-20
6F195,IndiGo,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,0 days 00:55:00,0.9166666666666666,CCU → DEL,2026-04-20
UK003,Vistara,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,0 days 04:38:00,4.633333333333334,HYD → DEL,2026-04-20
UK026,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,0 days 02:06:00,2.1,HYD → MAA,2026-04-20
6F174,IndiGo,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,0 days 00:40:00,0.6666666666666666,DEL → HYD,2026-04-20
UK067,Vistara,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,0 days 03:26:00,3.433333333333333,BOM → CCU,2026-04-20
SJ149,SpiceJet,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,0 days 02:00:00.298000,2.0000827777777777,HYD → MAA,2026-04-20
6F213,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,0 days 03:27:00,3.45,BLR → BOM,2026-04-20
UK200,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,0 days 01:51:00,1.85,CCU → DEL,2026-04-20
SJ214,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,0 days 01:16:00,1.2666666666666666,BOM → MAA,2026-04-20
SJ047,SpiceJet,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,0 days 00:37:00,0.6166666666666667,HYD → BOM,2026-04-20
AI179,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,0 days 04:38:00,4.633333333333334,HYD → BOM,2026-04-20
SJ153,SpiceJet,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,0 days 01:23:00,1.3833333333333333,DEL → CCU,2026-04-20
6F236,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,0 days 03:19:00,3.316666666666667,BOM → DEL,2026-04-20
UK059,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,0 days 01:37:00,1.6166666666666667,HYD → MAA,2026-04-20
SJ001,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,0 days 04:47:00,4.783333333333333,BOM → MAA,2026-04-20
SJ049,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,0 days 04:00:00,4.0,CCU → DEL,2026-04-20
6F086,IndiGo,MAA,HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,0 days 00:37:00,0.6166666666666667,MAA → HYD,2026-04-20
AI220,Air India,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,0 days 01:38:00,1.6333333333333333,BOM → DEL,2026-04-20
AI188,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,0 days 02:46:00,2.7666666666666666,CCU → HYD,2026-04-20
